ikea-com.mail.protection.outlook.com.               104.47.0.36
no-int-jobs.about.ikea.com                          2.19.193.27
no-jobs.about.ikea.com                              2.19.193.42
npm.fundament.ikea.com                              51.144.164.215
ns1.iags.ikea.com                                   192.71.68.190
ns2.iags.ikea.com                                   192.71.68.237
o1.ptr9926.em9049.isubscribe.cloud.email.ikea.com   168.245.36.95
om.ingka.ikea.com                                   23.214.4.84
omp.info.email.ikea.com                             140.86.230.114
omptrans.info.email.ikea.com                        140.86.232.39
onlinecatalogueasia.ikea.com                        52.85.10.15
onlinecataloguecanada.ikea.com                      52.85.10.92
onlinecatalogue.ikea.com                            63.32.150.93
online.ikea.com.au                                  23.214.4.84
oos.inside.ikea.com                                 23.214.11.49
oosone.ikea.com                                     192.71.69.8
oostwo.ikea.com                                     192.71.69.9
optiva.food.inter.ikea.com                          18.202.155.67
order2.ikea.com                                     23.214.21.71
order-cancellation.ocp.ingka.ikea.com               23.214.25.95
order-history.ocp.ingka.ikea.com                    23.214.25.95
order.ikea.com                                      23.214.21.71
origin1-www.ikea.com                                192.71.68.3
origin1-www.ppe.ikea.com                            192.71.68.14
origin2-www.ikea.com                                192.71.68.9
origin2-www.ppe.ikea.com                            192.71.68.15
origin3-ppe.cip.ikea.com                            192.71.68.21
origin3-www.cip.ikea.com                            192.71.68.22
origin3-www.ikea.com                                192.71.68.10
origin3-www.ppe.ikea.com                            192.71.68.16
origin-checkout.hk.ikea.com                         134.159.140.114
origin-iows.ikea.com                                192.71.68.32
origin-iows.ppe.ikea.com                            192.71.68.31
origin-kitchenplanner.ikea.com                      192.71.68.131
origin-kitchenplanner.ppe.ikea.com                  192.71.68.130
origin-m.ppe.ikea.com                               192.71.68.56
origin-secure.iows.ikea.com                         192.71.68.30
origin-secure.iows.ppe.ikea.com                     192.71.68.29
origin-secure.ppe.ikea.com                          192.71.68.18
originstatic-www.ikea.com                           192.71.68.13
originstatic-www.ppe.ikea.com                       192.71.68.17
origin-www.ciptest.ikea.com                         192.71.68.115
owa-inside.ikea.com                                 217.150.168.50
pages.git.build.ingka.ikea.com                      52.214.10.31
parcel-api.order.email.ikea.com                     35.156.114.187
parcel-cdn.order.email.ikea.com                     52.85.10.51
passwordchange.ikea.com                             192.71.69.49
passwordreset.ikea.com                              204.74.99.103
pdoc.apps.ikea.com                                  192.71.68.160
pl.accounts.ikea.com                                23.214.25.95
planning-insight.ikea.com                           23.214.21.71
pl-int-jobs.about.ikea.com                          23.53.42.176
pl-jobs.about.ikea.com                              23.53.42.137
plus.app.ikea.com                                   23.214.4.84
portal.rmps.ikea.com                                192.165.176.15
preview.about.ikea.com                              104.40.250.100
preview.acc.about.ikea.com                          52.178.114.226
preview.developer.ikea.com                          104.40.250.100
preview.ikea.com                                    192.176.232.164
preview.inter.ikea.com                              104.40.250.100
preview.tst.about.ikea.com                          40.114.194.188
prod.b2b.ikea.com                                   192.71.68.180
prodcn.b2b.ikea.com                                 101.52.132.213
psathome.ikea.com                                   23.214.4.84
pt.accounts.ikea.com                                23.214.25.95
ptag.ikea.com                                       23.214.21.71
pt.chat.ikea.com                                    192.71.68.77
pt-int-jobs.about.ikea.com                          23.53.42.114
pt-jobs.about.ikea.com                              23.53.42.169
publications-at-de.ikea.com                         52.85.10.25
publications-au-en.ikea.com                         52.85.10.17
publications-be-nl.ikea.com                         52.85.10.50
publications-ca-fr.ikea.com                         52.85.10.12
publications-ch-de.ikea.com                         52.85.10.125
publications-ch-fr.ikea.com                         52.85.10.87
publications-cy-el.ikea.com                         52.85.10.90
publications-cz-cs.ikea.com                         52.85.10.28
publications-dk-da.ikea.com                         52.85.10.116
publications-es-en.ikea.com                         52.85.10.103
publications-es-es.ikea.com                         52.85.10.69
publications-ext.ikea.com                           52.85.10.93
publications-ext-preprod.ikea.com                   52.85.10.110
publications-gb-en.ikea.com                         52.85.10.59
publications-gr-el.ikea.com                         52.85.10.53
publications-hk-en.ikea.com                         52.85.10.82
publications-hr-hr.ikea.com                         52.85.10.57
publications-ie-en.ikea.com                         52.85.10.95
publications-kw-ar.ikea.com                         52.85.10.92
publications-ma-ar.ikea.com                         52.85.10.97
publications-ma-fr.ikea.com                         52.85.10.103
publications-mx-es.ikea.com                         52.85.10.56
publications-no-no.ikea.com                         52.85.10.120
publications-rs-sr.ikea.com                         52.85.10.36
publications-ru-ru.ikea.com                         52.85.10.57
publications-sa-en.ikea.com                         143.204.10.72
publications-se-sv.ikea.com                         52.85.10.69
publications-sg-en.ikea.com                         52.85.10.70
publications-si-sl.ikea.com                         52.85.10.65
publications-test-de-de.ikea.com                    52.85.10.66
publications-test-nl-nl.ikea.com                    52.85.10.54
puntodeentrega.ikea.com                             52.214.211.136
purchmanual.inter.ikea.com                          23.214.11.49
qa.journeys.ikea.com                                13.94.143.57
qv.centiro.ikea.com                                 193.228.157.177
raap01.ikea.com                                     202.95.74.67
raap02.ikea.com                                     192.165.176.248
raap03.ikea.com                                     192.165.176.246
raau01.ikea.com                                     203.166.27.14
racn01.ikea.com                                     116.214.33.152
racn03.ikea.com                                     101.52.133.212
raeu02.ikea.com                                     192.71.69.120
raeu03.ikea.com                                     192.71.68.244
rana01.ikea.com                                     199.26.169.8
rana02.ikea.com                                     199.26.169.10
rana03.ikea.com                                     199.26.169.1
rats.om.ingka.ikea.com                              23.214.4.84
react.fundament.ikea.com                            40.68.205.178
reply.family.email.ikea.com                         74.112.69.25
retail.api.ikea.com                                 23.214.4.84
review.symfonisk.ikea.com                           40.114.194.188
rmps-ns1.ikea.com                                   192.165.176.13
rmps-ns2.ikea.com                                   199.26.169.31
rmps-ns3.ikea.com                                   192.71.69.98
rmps-ns4.ikea.com                                   192.71.69.100
ro.accounts.ikea.com                                23.214.25.95
roig.iags.ikea.com                                  192.176.232.186
ro-int-jobs.about.ikea.com                          23.53.42.186
ro-jobs.about.ikea.com                              23.53.42.184
rpacn-web.ikea.com                                  101.52.133.242
rpa.ikea.com                                        192.71.69.71
rpa-web.ikea.com                                    192.71.69.71
ru-int-jobs.about.ikea.com                          23.53.42.187
ru-jobs.about.ikea.com                              23.53.42.195
schedules.belgium.ikea.com                          104.40.183.236
scim1password.ikea.com                              35.222.188.191
se.accounts.ikea.com                                23.214.25.95
secontact.ikea.com                                  192.71.69.28
secureae2.ikea.com                                  23.214.21.71
secureae.ikea.com                                   23.214.21.71
secure.ar.ikea.com                                  23.214.4.84
secure.business.ikea.com                            195.69.154.46
secure.ca.ikea.com                                  23.214.4.84
secure.eu.ikea.com                                  23.214.4.84
secure.ikea.com                                     23.14.248.238
secure.iows.ikea.com                                23.214.4.84
securema2.ikea.com                                  23.214.21.71
securema.ikea.com                                   23.214.4.84
securem.ar.ikea.com                                 23.214.4.84
securem.ikea.com                                    23.14.248.238
secureplanner.ikea.com                              23.214.4.84
secure.services.ikea.com                            206.83.83.64
securews.ikea.com                                   192.71.68.54
seinincontact.ikea.com                              192.71.68.169
services.email.ikea.com                             13.111.67.8
services.ikea.com                                   2.19.193.75
shop.api.ingka.ikea.com                             23.14.248.238
shop.static.ingka.ikea.com                          23.14.248.238
sicas.ikea.com                                      15.188.154.177
sip.ikea.com                                        52.113.64.147
sk.accounts.ikea.com                                23.214.25.95
sk-int-jobs.about.ikea.com                          23.53.42.161
sk-jobs.about.ikea.com                              23.53.42.184
sl-int-jobs.about.ikea.com                          2.16.110.88
sl-jobs.about.ikea.com                              2.16.110.99
smetrics.ikea.com                                   15.236.175.233
sr-int-jobs.about.ikea.com                          2.16.110.40
sr-jobs.about.ikea.com                              2.16.110.82
sscm.inter.ikea.com                                 185.14.247.212
sso.dev.journeys.ikea.com                           40.68.205.178
sso.journeys.ikea.com                               13.94.143.57
sso.qa.journeys.ikea.com                            13.94.143.57
sso.thanks.inter.ikea.com                           149.210.176.216
ssts.apps.ikea.com                                  192.71.68.89
stage.appointmentbooking.ppe.ikea.com               23.214.7.19
static.pstag.ikea.com                               192.176.232.178
stg.toolbox.ikea.com                                79.125.3.242
store-events.ocp.ingka.ikea.com                     23.214.25.95
stsfba.ikea.com                                     192.71.68.129
sts.home.inter.ikea.com                             52.232.44.242
sts.ikea.com                                        192.71.68.187
sts.news.inter.ikea.com                             40.68.20.0
sup.b2b.ikea.com                                    192.71.68.149
supplier.apps.ikea.com                              192.165.176.2
supplierportal.ikea.com                             54.68.182.72
surveys.ikea.com                                    35.158.247.28
sustainableliving.ikea.com                          52.211.92.117
sv-int-jobs.about.ikea.com                          23.53.42.129
sv-jobs.about.ikea.com                              23.53.42.193
teamsite.ikea.com                                   192.176.232.162
test-eguides.ikea.com                               62.181.197.31
thanks.inter.ikea.com                               149.210.176.216
th-int-jobs.about.ikea.com                          2.16.110.83
th-jobs.about.ikea.com                              2.16.110.75
toolbox.ikea.com                                    79.125.3.242
tst.about.ikea.com                                  40.114.194.188
uk-int-jobs.about.ikea.com                          2.16.110.67
uk-jobs.about.ikea.com                              2.16.110.96
us.accounts.ikea.com                                23.214.25.95
usinincontact.ikea.com                              192.71.68.174
videos.ikea.com                                     64.215.193.209
view.news.email.ikea.com                            161.71.52.57
view.uk.ikea.com                                    208.94.20.11
vi-int-jobs.about.ikea.com                          23.53.42.200
vi-jobs.about.ikea.com                              23.53.42.184
wap.ikea.com                                        213.235.199.242
webdisk.inter.ikea.com                              194.42.98.46
webmail.inter.ikea.com                              80.92.84.52
webplanners.ikea.com                                195.175.114.160
webshop-ims.apps.ikea.com                           192.71.68.89
ww3.ikea.com                                        23.214.21.71
ww4.ikea.com                                        23.214.21.71
ww8.ikea.com                                        23.14.248.238
ww9.ikea.com                                        23.214.21.71
www2.ikea.com                                       23.214.4.84
www.appointmentbooking.ikea.com                     40.127.192.244
www.business.ikea.com                               195.175.114.130
www.cip.ikea.com                                    23.214.4.84
www.ciptest.ikea.com                                23.214.7.19
www.des.ikea.com                                    23.214.4.84
www.dexf.ikea.com                                   23.214.4.84
www.franchisor.ikea.com                             54.68.182.72
www.git.build.inter.ikea.com                        35.205.239.71
www.highlights.ikea.com                             54.68.182.72
www.ikea.com                                        23.14.248.238
www.ikea-group.ikea.com                             193.108.42.168
www.inter.ikea.com                                  40.114.194.188
www.memoriaanual.ikea.com                           87.98.231.40
www.pnilsetest.ikea.com                             192.71.68.112
www.puntodeentrega.ikea.com                         217.76.157.96
www.supplier.ikea.com                               192.176.233.21
xpwesto507.ikea.com                                 195.228.73.100
